,RMSE,nRMSE(Mean),nRMSE(Max-Min),MAE,nMAE(Mean),nMAE(Max-Min),MAPE,sMAPE,R2,Model
USD_CNY,0.22,0.0309,1.1797,0.19,0.0268,1.0243,2.66,2.71,-7.25,GRU
USD_KRW,97.84,0.0699,1.2078,88.03,0.0629,1.0867,6.22,6.47,-7.69,GRU
USD_JPY,15.04,0.0986,3.5781,14.45,0.0948,3.437,9.44,9.95,-63.87,GRU
USD_AUD,0.02,0.0366,0.6364,0.02,0.028,0.4862,2.86,2.79,-1.42,GRU
USD_BRL,0.51,0.0875,1.0481,0.45,0.0774,0.9278,7.61,7.99,-5.44,GRU
USD_DXY,5.55,0.0526,1.3944,5.1,0.0483,1.2804,4.8,4.94,-10.35,GRU
Stocks_US500,424.64,0.0718,1.9315,414.19,0.07,1.8839,6.98,7.25,-20.78,GRU
Stocks_USVIX,1.97,0.1143,0.4593,1.76,0.1019,0.4098,9.78,10.02,-0.02,GRU
Stocks_CH50,1970.43,0.1455,6.9939,1968.68,0.1454,6.9877,14.53,15.68,-235.68,GRU
Stocks_CSI300,759.39,0.1911,31.3342,759.0,0.191,31.318,19.1,21.12,-4755.74,GRU
Stocks_SHANGHAI50,397.55,0.1479,10.0578,397.5,0.1479,10.0566,14.79,15.97,-522.53,GRU
Stocks_SHANGHAI,589.62,0.176,7.1413,587.21,0.1753,7.1122,17.51,19.21,-301.99,GRU
Stocks_HK50,2406.61,0.1186,2.1254,2334.94,0.1151,2.0621,11.44,12.18,-20.37,GRU
Stocks_GEI,71.37,0.0173,1.2278,71.0,0.0173,1.2215,1.73,1.74,-7.98,GRU
Bonds_CHN_30Y,0.14,0.0621,0.4322,0.09,0.0416,0.2893,4.46,4.25,-0.04,GRU
Bonds_CHN_20Y,0.09,0.042,0.3331,0.09,0.0409,0.3246,4.15,4.13,0.4,GRU
Bonds_CHN_10Y,0.19,0.095,0.5684,0.13,0.0643,0.385,7.01,6.5,-0.67,GRU
Bonds_CHN_5Y,0.23,0.1364,0.7009,0.19,0.1112,0.5715,11.88,10.86,-1.76,GRU
Bonds_CHN_2Y,0.22,0.1604,0.7605,0.18,0.1328,0.6296,14.25,12.84,-2.17,GRU
Bonds_CHN_1Y,0.29,0.2244,1.0502,0.25,0.1942,0.9086,20.71,18.07,-4.84,GRU
Bonds_US_10Y,0.79,0.1843,2.5655,0.75,0.1761,2.45,17.45,19.28,-33.16,GRU
Bonds_US_2Y,0.64,0.1542,2.2281,0.6,0.1428,2.0629,14.11,15.37,-23.59,GRU
Bonds_US_1Y,0.3,0.0702,2.4403,0.26,0.0608,2.1145,6.05,6.31,-30.85,GRU
Bonds_US_3M,0.33,0.0727,1.2661,0.33,0.0723,1.2591,7.25,6.99,-8.44,GRU
Bonds_AUS_10Y,0.8,0.1827,2.8255,0.78,0.1778,2.7505,17.7,19.52,-42.62,GRU
Bonds_AUS_1Y,0.24,0.0591,1.5486,0.21,0.0509,1.3335,5.05,5.23,-13.04,GRU
Bonds_BRZ_10Y,1.74,0.1308,1.0254,1.55,0.1168,0.9159,11.4,12.25,-4.65,GRU
Bonds_BRZ_1Y,2.45,0.1823,1.0142,2.21,0.1649,0.9175,16.02,17.67,-4.84,GRU
Bonds_KOR_10Y,0.21,0.0707,0.7355,0.2,0.0675,0.7027,6.69,6.94,-1.84,GRU
Bonds_KOR_1Y,0.07,0.0263,0.3042,0.05,0.0176,0.2034,1.83,1.8,0.5,GRU
Com_CrudeOil,2.27,0.0323,1.1652,2.11,0.0301,1.0844,3.02,3.07,-5.43,GRU
Com_BrentCrudeOil,1.79,0.0243,0.8044,1.71,0.0231,0.7654,2.32,2.35,-2.19,GRU
Com_Gasoline,0.06,0.0316,0.6666,0.06,0.0311,0.6564,3.12,3.17,-1.66,GRU
Com_NaturalGas,0.63,0.2091,0.9008,0.57,0.1894,0.816,18.26,20.44,-3.87,GRU
Com_Uranium,2.85,0.0364,0.3765,2.51,0.0321,0.3317,3.26,3.21,0.15,GRU
Com_LME_Index,126.45,0.0309,0.5536,89.31,0.0218,0.391,2.13,2.18,-0.71,GRU
Com_HRC_Steel,58.62,0.0836,4.923,54.5,0.0777,4.5775,7.8,7.46,-109.42,GRU
